('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         847923 function calls (823694 primitive calls) in 8.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      334    2.020    0.006    2.020    0.006 {method 'read' of '_ssl._SSLSocket' objects}
      859    0.324    0.000    0.324    0.000 {built-in method posix.stat}
        1    0.138    0.138    0.138    0.138 {built-in method _socket.getaddrinfo}
      165    0.094    0.001    0.094    0.001 {built-in method _io.open_code}
        1    0.047    0.047    0.047    0.047 {method 'connect' of '_socket.socket' objects}
      229    0.047    0.000    1.361    0.006 {method 'read' of '_io.BufferedReader' objects}
        1    0.046    0.046    0.046    0.046 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      165    0.034    0.000    0.034    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.026    0.026    0.026    0.026 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     3199    0.019    0.000    0.100    0.000 parser.py:301(parse_starttag)
 4759/198    0.017    0.000    0.050    0.000 _parser.py:512(_parse)
       20    0.016    0.001    0.016    0.001 {built-in method posix.listdir}
    29343    0.016    0.000    0.016    0.000 {method 'match' of 're.Pattern' objects}
        2    0.014    0.007    0.165    0.082 parser.py:134(goahead)
      165    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
 5521/190    0.011    0.000    0.026    0.000 _compiler.py:37(_compile)
      9/7    0.010    0.001    0.014    0.002 {built-in method _imp.create_dynamic}
     3199    0.008    0.000    0.012    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    89870    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     3199    0.007    0.000    0.045    0.000 __init__.py:987(handle_starttag)
       42    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
73299/67000    0.006    0.000    0.007    0.000 {built-in method builtins.len}
     6656    0.006    0.000    0.026    0.000 __init__.py:826(endData)
     3199    0.006    0.000    0.053    0.000 _htmlparser.py:142(handle_starttag)
     9668    0.006    0.000    0.006    0.000 element.py:376(setup)
     3200    0.005    0.000    0.021    0.000 element.py:1626(__init__)
59873/59869    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
    29578    0.005    0.000    0.008    0.000 _parser.py:168(__getitem__)
     3028    0.005    0.000    0.034    0.000 parser.py:379(parse_endtag)
  546/541    0.005    0.000    0.043    0.000 {built-in method builtins.__build_class__}
    17005    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
 1270/190    0.004    0.000    0.050    0.000 _parser.py:452(_parse_sub)
      901    0.004    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
     9595    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     3234    0.004    0.000    0.008    0.000 __init__.py:867(object_was_parsed)
 5468/371    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
    24359    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     3198    0.003    0.000    0.007    0.000 __init__.py:950(_popToTag)
3924/3895    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0xa43b40}
    12741    0.003    0.000    0.006    0.000 _markupbase.py:44(updatepos)
     3234    0.003    0.000    0.007    0.000 element.py:1291(__new__)
      414    0.003    0.000    0.244    0.001 <frozen importlib._bootstrap_external>:1593(find_spec)
     3201    0.003    0.000    0.025    0.000 _htmlparser.py:204(handle_endtag)
     3200    0.003    0.000    0.004    0.000 __init__.py:809(pushTag)
    16688    0.003    0.000    0.005    0.000 _parser.py:261(get)
     3234    0.003    0.000    0.005    0.000 __init__.py:732(string_container)
    25504    0.003    0.000    0.003    0.000 _parser.py:240(__next)
7943/7918    0.003    0.000    0.007    0.000 typing.py:392(inner)
     9491    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    17398    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     3199    0.002    0.000    0.003    0.000 __init__.py:786(popTag)
        1    0.002    0.002    0.031    0.031 dammit.py:128(_populate_class_variables)
    15070    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    13227    0.002    0.000    0.003    0.000 _parser.py:256(match)
     2320    0.002    0.000    0.006    0.000 filter.py:616(_attribute_match)
    17659    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     2519    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     2414    0.002    0.000    0.009    0.000 filter.py:538(matches_tag)
     3199    0.002    0.000    0.007    0.000 parser.py:345(check_for_whole_start_tag)
     7465    0.002    0.000    0.003    0.000 _parser.py:176(append)
     3198    0.002    0.000    0.022    0.000 __init__.py:1053(handle_endtag)
      165    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    12540    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
    14503    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     2220    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2556    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      106    0.002    0.000    0.014    0.000 filter.py:129(filter)
     1818    0.002    0.000    0.002    0.000 __init__.py:906(_linkage_fixer)
7177/7109    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      884    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      309    0.001    0.000    0.087    0.000 __init__.py:280(_compile)
        1    0.001    0.001    0.001    0.001 models.py:909(text)
     3372    0.001    0.000    0.003    0.000 filter.py:627(_match_attribute_value_helper)
     4764    0.001    0.000    0.011    0.000 filter.py:721(match)
      215    0.001    0.000    0.267    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
      165    0.001    0.000    0.275    0.002 <frozen importlib._bootstrap_external>:1062(get_code)
      122    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       16    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
     6514    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     7199    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
     4305    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     3131    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
     7178    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6410    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3199    0.001    0.000    0.001    0.000 element.py:1820(is_empty_element)
      334    0.001    0.000    2.022    0.006 ssl.py:1237(recv_into)
       43    0.001    0.000    0.007    0.000 response.py:122(decompress)
     4904    0.001    0.000    0.001    0.000 element.py:2771(descendants)
      259    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
    219/4    0.001    0.000    0.722    0.181 <frozen importlib._bootstrap>:1349(_find_and_load)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     4976    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
     5115    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     9162    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       12    0.001    0.000    1.325    0.110 {method 'join' of 'bytes' objects}
    167/1    0.001    0.000    8.175    8.175 {built-in method builtins.exec}
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
    11654    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      176    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
      334    0.001    0.000    2.023    0.006 socket.py:693(readinto)
     3260    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
    442/8    0.001    0.000    0.700    0.088 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      901    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
    217/4    0.001    0.000    0.722    0.181 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     4249    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      190    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
      197    0.001    0.000    0.265    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
     1057    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
    56/16    0.001    0.000    0.012    0.001 css_parser.py:925(parse_selectors)
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3200    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     4977    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
        1    0.001    0.001    0.001    0.001 connection.py:82(HTTPConnection)
      165    0.001    0.000    0.174    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      310    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      380    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
     3419    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      190    0.001    0.000    0.084    0.000 _compiler.py:740(compile)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      192    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      942    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
    192/4    0.000    0.000    0.708    0.177 <frozen importlib._bootstrap>:911(_load_unlocked)
     3084    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2800    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2407    0.000    0.000    0.001    0.000 element.py:2168(get)
       21    0.000    0.000    1.498    0.071 __init__.py:1(<module>)
      804    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      853    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
