('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         853767 function calls (829508 primitive calls) in 2.989 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      345    1.786    0.005    1.786    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      859    0.318    0.000    0.318    0.000 {built-in method posix.stat}
        1    0.157    0.157    0.157    0.157 {built-in method _socket.getaddrinfo}
      165    0.091    0.001    0.091    0.001 {built-in method _io.open_code}
        1    0.059    0.059    0.059    0.059 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      229    0.052    0.000    1.070    0.005 {method 'read' of '_io.BufferedReader' objects}
        1    0.046    0.046    0.046    0.046 {method 'connect' of '_socket.socket' objects}
      165    0.031    0.000    0.031    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.022    0.022    0.022    0.022 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     3259    0.022    0.000    0.117    0.000 parser.py:301(parse_starttag)
    29979    0.018    0.000    0.018    0.000 {method 'match' of 're.Pattern' objects}
 4759/198    0.017    0.000    0.048    0.000 _parser.py:512(_parse)
        2    0.016    0.008    0.190    0.095 parser.py:134(goahead)
       42    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       20    0.013    0.001    0.013    0.001 {built-in method posix.listdir}
      165    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
 5521/190    0.011    0.000    0.024    0.000 _compiler.py:37(_compile)
     3259    0.010    0.000    0.014    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      9/7    0.010    0.001    0.013    0.002 {built-in method _imp.create_dynamic}
     3259    0.009    0.000    0.052    0.000 __init__.py:987(handle_starttag)
    90299    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     3259    0.007    0.000    0.063    0.000 _htmlparser.py:142(handle_starttag)
     6776    0.006    0.000    0.030    0.000 __init__.py:826(endData)
73482/67153    0.006    0.000    0.007    0.000 {built-in method builtins.len}
     3260    0.006    0.000    0.024    0.000 element.py:1626(__init__)
     9728    0.006    0.000    0.006    0.000 element.py:376(setup)
     3087    0.005    0.000    0.037    0.000 parser.py:379(parse_endtag)
59912/59908    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
3924/3895    0.005    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa43b40}
  546/541    0.005    0.000    0.040    0.000 {built-in method builtins.__build_class__}
    17397    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    29608    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
     9773    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     3234    0.004    0.000    0.009    0.000 __init__.py:867(object_was_parsed)
 1270/190    0.004    0.000    0.049    0.000 _parser.py:452(_parse_sub)
     3258    0.004    0.000    0.008    0.000 __init__.py:950(_popToTag)
    12979    0.004    0.000    0.007    0.000 _markupbase.py:44(updatepos)
      901    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
     3260    0.004    0.000    0.004    0.000 __init__.py:809(pushTag)
    16688    0.004    0.000    0.005    0.000 _parser.py:261(get)
    24600    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
 5468/371    0.003    0.000    0.006    0.000 _parser.py:178(getwidth)
     3261    0.003    0.000    0.029    0.000 _htmlparser.py:204(handle_endtag)
     3234    0.003    0.000    0.009    0.000 element.py:1291(__new__)
      345    0.003    0.000    1.790    0.005 ssl.py:1237(recv_into)
8003/7978    0.003    0.000    0.008    0.000 typing.py:392(inner)
