iter	Passed	Remaining
0	192	192235
1	237	118504
2	262	87253
3	304	75771
4	348	69380
5	391	64893
6	434	61595
7	476	59122
8	506	55770
9	539	53382
10	567	51025
11	607	50014
12	649	49281
13	693	48811
14	729	47901
15	772	47529
16	789	45641
17	831	45360
18	873	45078
19	892	43724
20	934	43582
21	976	43417
22	1021	43391
23	1056	42958
24	1097	42810
25	1115	41793
26	1158	41751
27	1187	41211
28	1229	41171
29	1265	40913
30	1309	40929
31	1386	41939
32	1426	41800
33	1469	41765
34	1514	41747
35	1558	41734
36	1599	41630
37	1643	41594
38	1688	41612
39	1733	41598
40	1775	41525
41	1813	41359
42	1854	41271
43	1900	41285
44	1945	41294
45	1989	41270
46	2035	41270
47	2078	41230
48	2095	40667
49	2131	40507
50	2148	39981
51	2191	39956
52	2232	39898
53	2274	39852
54	2315	39792
55	2360	39795
56	2403	39759
57	2445	39713
58	2487	39678
59	2531	39664
60	2571	39591
61	2613	39535
62	2653	39462
63	2697	39447
64	2739	39401
65	2780	39341
66	2826	39366
67	2838	38908
68	2880	38869
69	2922	38833
70	2967	38826
71	3009	38794
72	3052	38766
73	3094	38726
74	3138	38707
75	3181	38682
76	3232	38742
77	3275	38721
78	3319	38695
79	3360	38641
80	3401	38590
81	3428	38385
82	3471	38352
83	3509	38268
84	3553	38250
85	3591	38172
86	3622	38016
87	3664	37980
88	3706	37940
89	3750	37918
90	3793	37890
91	3837	37871
92	3877	37812
93	3920	37784
94	3959	37719
95	4000	37673
96	4042	37637
97	4099	37730
98	4142	37703
99	4188	37692
100	4231	37663
101	4276	37652
102	4317	37604
103	4360	37567
104	4399	37504
105	4443	37472
106	4494	37510
107	4538	37480
108	4579	37433
109	4626	37430
110	4671	37417
111	4701	37274
112	4746	37254
113	4791	37235
114	4838	37234
115	4881	37202
116	4923	37160
117	4965	37112
118	5007	37075
119	5047	37014
120	5088	36961
121	5128	36911
122	5174	36897
123	5213	36831
124	5256	36793
125	5295	36733
126	5338	36698
127	5380	36653
128	5426	36642
129	5474	36635
130	5501	36495
131	5513	36252
132	5559	36243
133	5602	36205
134	5645	36170
135	5689	36141
136	5734	36121
137	5754	35946
138	5795	35897
139	5834	35841
